#미-패U01-1,13,60
index,Category,Path,Unit,Lesson,Sentence,Translate,Question_File,Question_During,Answer1_File,Answer1_During,Answer2_File,Answer2_During
#!int,!String,!String,!Int,!Int,!String,!String,!String,!Float,!String,!Float,!String,!Float
24,미드 영어회화,mid-unit1,1,6,We'll find him. Tom.그 애를 찾게 될 거에요 팀.,I'm afraid we're going to fail.아무래도 우린 그렇게 못할 것 같아요.,snd006_2_conv2-3,0,snd006_2_conv2-4,,,
미-패U02-1,13,20
index,Category,Path,Unit,Lesson,Sentence,Translate,Question_File,Question_During,Answer1_File,Answer1_During,Answer2_File,Answer2_During
!int,!String,!String,!Int,!Int,!String,!String,!String,!Float,!String,!Float,!String,!Float
1,미드 영어회화,mid-unit2,2,13,이게 지겨워 지기 시작하는 걸.,I'm getting sick of this.Sick은 아프다 또는 토한다 의미가 있다. I'm going to be sick! 이라고 하면 '토할 것 같아!' 라는 뜻이죠. 그런데 (be sick of + (동)명사 )가 되면 무엇이 '지겹다'는 의미가 됩니다.,snd013_1_1_이게 지겨워지기 시작하는 걸,0,snd013_1_1_I'm getting sick of this,1,,
2,미드 영어회화,mid-unit2,2,13,짜증이 나기 시작하는 걸.,I'm getting annoyed.,snd013_1_2_짜증이 나기 시작하는 걸,0,snd013_1_2_I'm getting annoyed,1,,
3,미드 영어회화,mid-unit2,2,13,골치가 아파지기 시작하는 걸.,I'm getting a headache.,snd013_1_3_골치가 아파지기 시작하는 걸,,snd013_1_3_I'm getting a headache,,,
4,미드 영어회화,mid-unit2,2,13,이게 느낌이 안 좋아지기 시작하는 걸.,I'm getting a bad feeling about this.,snd013_1_4_이게 느낌이 안 좋아지기 시작하는 걸,,snd013_1_4_I'm getting a bad feeling about this,,,
5,미드 영어회화,mid-unit2,2,13,마누라한테 바가지를 긁히기 시작하고 있어.,I'm getting hassled by my wife.,snd013_1_5_마누라한테 바가지를 긁히기 시작하고 있어,,snd013_1_5_I'm getting hassled by my wife,,,
6,미드 영어회화,mid-unit2,2,14,난 더이상 젊어지지도 않을 것고 말야.,I'm not getting any younger.,snd014_1_1_난 더이상 젊어지지도 않을 것고 말야,,snd014_1_1_I'm not getting any younger,,,
7,미드 영어회화,mid-unit2,2,14,더이상 행복한 느낌이 들지도 않아,I'm not getting any happier.,snd014_1_2_더이상 행복한 느낌이 들지도 않아,,snd014_1_2_I'm not getting any happier,,,
